number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_units_layer_0,params_hidden_units_layer_1,params_hidden_units_layer_2,params_hidden_units_layer_3,params_hidden_units_layer_4,params_hidden_units_layer_5,params_hidden_units_layer_6,params_hidden_units_layer_7,params_hidden_units_layer_8,params_hidden_units_layer_9,params_lr,params_n_layers,params_use_residual,state
0,0.41148118216385776,2025-11-30 16:56:38.444263,2025-11-30 16:57:15.033791,0 days 00:00:36.589528,tanh,0.4753571532049581,512,2048.0,512.0,2048.0,,,,,,,0.0056327334816730175,4,True,COMPLETE
1,0.29404627303057473,2025-11-30 16:57:15.034239,2025-11-30 16:57:41.101447,0 days 00:00:26.067208,tanh,0.048836057003191935,32,32.0,1024.0,1024.0,,,,,,,0.0009067865433891704,4,True,COMPLETE
2,0.5568237514125922,2025-11-30 16:57:41.101975,2025-11-30 16:58:00.611211,0 days 00:00:19.509236,leaky_relu,0.4077307142274171,64,,,,,,,,,,0.004448458336296336,1,False,COMPLETE
3,0.30977484923651527,2025-11-30 16:58:00.611647,2025-11-30 16:58:42.108475,0 days 00:00:41.496828,leaky_relu,0.44360637128816327,32,256.0,512.0,2048.0,1024.0,1024.0,256.0,,,,0.0012314639717532618,7,True,COMPLETE
4,0.2966359198245491,2025-11-30 16:58:42.109013,2025-11-30 16:59:04.529205,0 days 00:00:22.420192,tanh,0.018443473677266398,256,64.0,32.0,,,,,,,,0.0023185605052947317,3,False,COMPLETE
5,0.46496168524620923,2025-11-30 16:59:04.529599,2025-11-30 16:59:06.528729,0 days 00:00:01.999130,relu,0.32258639520472493,128,1024.0,256.0,,,,,,,,0.00064333713790388,3,True,PRUNED
6,0.6321584002820713,2025-11-30 16:59:06.529108,2025-11-30 16:59:06.973385,0 days 00:00:00.444277,tanh,0.4492770942635396,1024,256.0,,,,,,,,,0.0015044553186279168,2,True,PRUNED
7,0.3461332693945523,2025-11-30 16:59:06.973809,2025-11-30 16:59:16.399243,0 days 00:00:09.425434,tanh,0.12199482168954179,512,256.0,128.0,,,,,,,,0.006402127874573824,3,False,PRUNED
8,0.2721807197166428,2025-11-30 16:59:16.399664,2025-11-30 16:59:48.653014,0 days 00:00:32.253350,relu,0.08474637334304624,64,2048.0,2048.0,256.0,,,,,,,0.0011796923641565372,4,True,COMPLETE
9,0.2556081365344247,2025-11-30 16:59:48.654190,2025-11-30 17:00:15.441337,0 days 00:00:26.787147,relu,0.015250124969524714,32,128.0,256.0,512.0,32.0,1024.0,,,,,0.002069590294885937,6,False,COMPLETE
10,0.6873729961318769,2025-11-30 17:00:15.441811,2025-11-30 17:00:16.103487,0 days 00:00:00.661676,relu,0.20436336777004507,2048,128.0,64.0,512.0,32.0,32.0,512.0,256.0,64.0,1024.0,0.002825126184688434,10,False,PRUNED
11,0.47171456789860144,2025-11-30 17:00:16.103920,2025-11-30 17:00:18.177041,0 days 00:00:02.073121,relu,0.13310753137711667,64,2048.0,2048.0,256.0,32.0,1024.0,128.0,,,,0.0016228197535564364,7,False,PRUNED
12,0.2898155401586022,2025-11-30 17:00:18.177392,2025-11-30 17:00:45.093292,0 days 00:00:26.915900,relu,0.0965244005988569,64,128.0,2048.0,128.0,64.0,64.0,,,,,0.003290122116052629,6,False,COMPLETE
13,23.146669461118453,2025-11-30 17:00:45.093844,2025-11-30 17:00:45.983923,0 days 00:00:00.890079,relu,0.0009050838277855598,32,512.0,256.0,32.0,2048.0,256.0,32.0,128.0,128.0,,0.009402256129542564,9,True,PRUNED
14,0.26956137733213487,2025-11-30 17:00:45.984413,2025-11-30 17:01:16.720194,0 days 00:00:30.735781,relu,0.20959542466072614,256,2048.0,256.0,64.0,128.0,,,,,,0.0005424788043002275,5,True,COMPLETE
15,0.6608965775077374,2025-11-30 17:01:16.720627,2025-11-30 17:01:17.273895,0 days 00:00:00.553268,relu,0.22080453647548284,256,128.0,256.0,64.0,128.0,128.0,,,,,0.0005263692365080028,6,False,PRUNED
